Pipeline,Action_Type,Alignment_Type,Mean,CI,Lower,Upper
base,Food,AS_orig,0.328780,0.010873,0.317908,0.339653
base,Food,AS_final,0.256652,0.009655,0.246996,0.266307
base,Music,AS_orig,0.310378,0.008983,0.301395,0.319361
base,Music,AS_final,0.263464,0.008422,0.255042,0.271885
base,Dance,AS_orig,0.337044,0.006933,0.330112,0.343977
base,Dance,AS_final,0.302173,0.006303,0.295871,0.308476
SA,Food,AS_orig,0.348592,0.007332,0.341260,0.355924
SA,Food,AS_final,0.373601,0.006687,0.366914,0.380288
SA,Music,AS_orig,0.327212,0.006469,0.320743,0.333680
SA,Music,AS_final,0.372926,0.006943,0.365984,0.379869
SA,Dance,AS_orig,0.331819,0.006010,0.325810,0.337829
SA,Dance,AS_final,0.384749,0.005962,0.378787,0.390710
MAS,Food,AS_orig,0.348327,0.008143,0.340184,0.356470
MAS,Food,AS_final,0.357053,0.007572,0.349481,0.364626
MAS,Music,AS_orig,0.328117,0.007898,0.320220,0.336015
MAS,Music,AS_final,0.344820,0.007316,0.337504,0.352136
MAS,Dance,AS_orig,0.326960,0.007849,0.319111,0.334810
MAS,Dance,AS_final,0.356493,0.007578,0.348915,0.364072
MAP,Food,AS_orig,0.352163,0.007352,0.344812,0.359515
MAP,Food,AS_final,0.349225,0.006974,0.342251,0.356199
MAP,Music,AS_orig,0.336047,0.008093,0.327954,0.344139
MAP,Music,AS_final,0.364253,0.007894,0.356359,0.372147
MAP,Dance,AS_orig,0.336065,0.007496,0.328569,0.343561
MAP,Dance,AS_final,0.360995,0.006305,0.354690,0.367300
