Pipeline,Action_Type,Metric,Mean,CI,Lower,Upper
base,Food,CRS,0.238255,0.007597,0.230658,0.245852
base,Food,OCRS,0.236369,0.003980,0.232389,0.240349
base,Food,PCRS,0.240689,0.006285,0.234403,0.246974
base,Food,ACRS,0.278788,0.007186,0.271602,0.285973
base,Food,LCRS,0.197175,0.012939,0.184235,0.210114
base,Music,CRS,0.234993,0.006451,0.228541,0.241444
base,Music,OCRS,0.227548,0.003799,0.223749,0.231346
base,Music,PCRS,0.231168,0.005174,0.225995,0.236342
base,Music,ACRS,0.275734,0.008536,0.267198,0.284270
base,Music,LCRS,0.205521,0.008298,0.197223,0.213818
base,Dance,CRS,0.245102,0.006307,0.238795,0.251409
base,Dance,OCRS,0.245346,0.004263,0.241082,0.249609
base,Dance,PCRS,0.245269,0.005344,0.239925,0.250612
base,Dance,ACRS,0.254488,0.007154,0.247334,0.261641
base,Dance,LCRS,0.235305,0.008468,0.226837,0.243774
SA,Food,CRS,0.247159,0.006800,0.240359,0.253959
SA,Food,OCRS,0.241341,0.004984,0.236357,0.246325
SA,Food,PCRS,0.251031,0.005853,0.245178,0.256884
SA,Food,ACRS,0.275532,0.008401,0.267131,0.283934
SA,Food,LCRS,0.220731,0.007962,0.212770,0.228693
SA,Music,CRS,0.242872,0.006459,0.236414,0.249331
SA,Music,OCRS,0.238864,0.004998,0.233866,0.243862
SA,Music,PCRS,0.244122,0.006076,0.238045,0.250198
SA,Music,ACRS,0.273671,0.007634,0.266037,0.281305
SA,Music,LCRS,0.214833,0.007127,0.207705,0.221960
SA,Dance,CRS,0.246482,0.006575,0.239906,0.253057
SA,Dance,OCRS,0.250969,0.005034,0.245935,0.256002
SA,Dance,PCRS,0.246939,0.005505,0.241434,0.252444
SA,Dance,ACRS,0.250463,0.007753,0.242710,0.258215
SA,Dance,LCRS,0.237556,0.008010,0.229546,0.245565
MAS,Food,CRS,0.253333,0.006541,0.246791,0.259874
MAS,Food,OCRS,0.249680,0.003894,0.245786,0.253574
MAS,Food,PCRS,0.252718,0.005269,0.247449,0.257987
MAS,Food,ACRS,0.271546,0.008783,0.262763,0.280329
MAS,Food,LCRS,0.239386,0.008219,0.231167,0.247605
MAS,Music,CRS,0.246425,0.007043,0.239383,0.253468
MAS,Music,OCRS,0.244894,0.005503,0.239391,0.250397
MAS,Music,PCRS,0.243131,0.006023,0.237107,0.249154
MAS,Music,ACRS,0.265636,0.008222,0.257415,0.273858
MAS,Music,LCRS,0.232040,0.008423,0.223617,0.240463
MAS,Dance,CRS,0.244732,0.006406,0.238326,0.251138
MAS,Dance,OCRS,0.248801,0.004627,0.244174,0.253429
MAS,Dance,PCRS,0.240846,0.005506,0.235341,0.246352
MAS,Dance,ACRS,0.244449,0.008591,0.235858,0.253040
MAS,Dance,LCRS,0.244833,0.006900,0.237932,0.251733
MAP,Food,CRS,0.253061,0.006556,0.246506,0.259617
MAP,Food,OCRS,0.250200,0.004504,0.245697,0.254704
MAP,Food,PCRS,0.252211,0.005585,0.246626,0.257796
MAP,Food,ACRS,0.278261,0.007522,0.270740,0.285783
MAP,Food,LCRS,0.231573,0.008613,0.222960,0.240186
MAP,Music,CRS,0.248558,0.006059,0.242499,0.254617
MAP,Music,OCRS,0.244732,0.005160,0.239572,0.249893
MAP,Music,PCRS,0.244015,0.005186,0.238829,0.249200
MAP,Music,ACRS,0.268986,0.006970,0.262016,0.275956
MAP,Music,LCRS,0.236498,0.006920,0.229578,0.243418
MAP,Dance,CRS,0.249742,0.006502,0.243241,0.256244
MAP,Dance,OCRS,0.255939,0.004567,0.251372,0.260507
MAP,Dance,PCRS,0.243112,0.006131,0.236981,0.249242
MAP,Dance,ACRS,0.248542,0.008317,0.240225,0.256859
MAP,Dance,LCRS,0.251377,0.006992,0.244385,0.258369
