Pipeline,Culture,Alignment_Type,Mean,CI,Lower,Upper
base,Chinese,AS_orig,0.337294,0.008563,0.328731,0.345857
base,Chinese,AS_final,0.282210,0.007478,0.274732,0.289689
base,American,AS_orig,0.321235,0.009963,0.311271,0.331198
base,American,AS_final,0.274364,0.010560,0.263804,0.284924
base,Romanian,AS_orig,0.317674,0.009056,0.308618,0.326730
base,Romanian,AS_final,0.265714,0.009454,0.256260,0.275168
SA,Chinese,AS_orig,0.342182,0.006184,0.335998,0.348367
SA,Chinese,AS_final,0.374446,0.007442,0.367004,0.381888
SA,American,AS_orig,0.329764,0.007506,0.322258,0.337270
SA,American,AS_final,0.378572,0.006053,0.372519,0.384625
SA,Romanian,AS_orig,0.335677,0.006771,0.328906,0.342448
SA,Romanian,AS_final,0.378257,0.006347,0.371910,0.384604
MAS,Chinese,AS_orig,0.342493,0.008392,0.334101,0.350885
MAS,Chinese,AS_final,0.354549,0.008485,0.346063,0.363034
MAS,American,AS_orig,0.330466,0.007917,0.322549,0.338383
MAS,American,AS_final,0.361203,0.006696,0.354506,0.367899
MAS,Romanian,AS_orig,0.330446,0.008167,0.322279,0.338614
MAS,Romanian,AS_final,0.342615,0.006884,0.335731,0.349499
MAP,Chinese,AS_orig,0.353103,0.005885,0.347218,0.358989
MAP,Chinese,AS_final,0.354586,0.006473,0.348113,0.361060
MAP,American,AS_orig,0.333512,0.008377,0.325135,0.341889
MAP,American,AS_final,0.372993,0.006514,0.366479,0.379508
MAP,Romanian,AS_orig,0.337660,0.008302,0.329358,0.345962
MAP,Romanian,AS_final,0.346893,0.007400,0.339494,0.354293
