Pipeline,Culture,Metric,Mean,CI,Lower,Upper
base,Chinese,CRS,0.245623,0.007567,0.238056,0.253190
base,Chinese,OCRS,0.239762,0.004110,0.235652,0.243873
base,Chinese,PCRS,0.259562,0.005125,0.254437,0.264688
base,Chinese,ACRS,0.268562,0.010175,0.258387,0.278737
base,Chinese,LCRS,0.214607,0.010856,0.203750,0.225463
base,American,CRS,0.236946,0.006485,0.230461,0.243432
base,American,OCRS,0.234868,0.004300,0.230568,0.239168
base,American,PCRS,0.227957,0.004487,0.223470,0.232444
base,American,ACRS,0.268412,0.006230,0.262182,0.274643
base,American,LCRS,0.216548,0.010925,0.205623,0.227473
base,Romanian,CRS,0.235780,0.006668,0.229112,0.242448
base,Romanian,OCRS,0.234632,0.004480,0.230152,0.239113
base,Romanian,PCRS,0.229606,0.004713,0.224894,0.234319
base,Romanian,ACRS,0.272035,0.007089,0.264946,0.279123
base,Romanian,LCRS,0.206846,0.010390,0.196456,0.217236
SA,Chinese,CRS,0.253397,0.006655,0.246742,0.260051
SA,Chinese,OCRS,0.252255,0.003987,0.248268,0.256242
SA,Chinese,PCRS,0.267831,0.004366,0.263465,0.272197
SA,Chinese,ACRS,0.269886,0.009162,0.260724,0.279048
SA,Chinese,LCRS,0.223614,0.009104,0.214510,0.232718
SA,American,CRS,0.236152,0.005850,0.230302,0.242002
SA,American,OCRS,0.234092,0.005973,0.228119,0.240065
SA,American,PCRS,0.223073,0.002798,0.220275,0.225870
SA,American,ACRS,0.259944,0.006601,0.253344,0.266545
SA,American,LCRS,0.227499,0.008030,0.219468,0.235529
SA,Romanian,CRS,0.246964,0.006211,0.240753,0.253176
SA,Romanian,OCRS,0.244827,0.004401,0.240426,0.249227
SA,Romanian,PCRS,0.251188,0.005011,0.246177,0.256198
SA,Romanian,ACRS,0.269836,0.008805,0.261031,0.278640
SA,Romanian,LCRS,0.222007,0.006630,0.215377,0.228637
MAS,Chinese,CRS,0.257954,0.006583,0.251371,0.264537
MAS,Chinese,OCRS,0.258554,0.003346,0.255208,0.261900
MAS,Chinese,PCRS,0.263637,0.004640,0.258997,0.268276
MAS,Chinese,ACRS,0.263802,0.010173,0.253629,0.273975
MAS,Chinese,LCRS,0.245824,0.008174,0.237650,0.253998
MAS,American,CRS,0.239573,0.005762,0.233812,0.245335
MAS,American,OCRS,0.236700,0.005131,0.231569,0.241832
MAS,American,PCRS,0.225825,0.003581,0.222245,0.229406
MAS,American,ACRS,0.257672,0.006297,0.251375,0.263969
MAS,American,LCRS,0.238096,0.008038,0.230058,0.246134
MAS,Romanian,CRS,0.246963,0.006668,0.240295,0.253630
MAS,Romanian,OCRS,0.248121,0.004260,0.243862,0.252381
MAS,Romanian,PCRS,0.247233,0.005324,0.241909,0.252556
MAS,Romanian,ACRS,0.260157,0.009724,0.250434,0.269881
MAS,Romanian,LCRS,0.232339,0.007364,0.224974,0.239703
MAP,Chinese,CRS,0.259503,0.006042,0.253461,0.265544
MAP,Chinese,OCRS,0.259692,0.003863,0.255829,0.263556
MAP,Chinese,PCRS,0.265170,0.004262,0.260908,0.269432
MAP,Chinese,ACRS,0.270192,0.008371,0.261821,0.278563
MAP,Chinese,LCRS,0.242956,0.007670,0.235287,0.250626
MAP,American,CRS,0.242114,0.005772,0.236342,0.247886
MAP,American,OCRS,0.241357,0.005405,0.235953,0.246762
MAP,American,PCRS,0.226405,0.003048,0.223357,0.229453
MAP,American,ACRS,0.257090,0.006425,0.250665,0.263516
MAP,American,LCRS,0.243603,0.008209,0.235394,0.251812
MAP,Romanian,CRS,0.249745,0.006562,0.243183,0.256307
MAP,Romanian,OCRS,0.249822,0.004291,0.245531,0.254113
MAP,Romanian,PCRS,0.247762,0.005777,0.241985,0.253539
MAP,Romanian,ACRS,0.268507,0.008991,0.259517,0.277498
MAP,Romanian,LCRS,0.232889,0.007191,0.225698,0.240079
