Pipeline,Prompt_Type,Alignment_Type,Mean,CI,Lower,Upper
base,mono,AS_orig,0.331284,0.008512,0.322772,0.339797
base,mono,AS_final,0.283846,0.008993,0.274853,0.292838
base,cross,AS_orig,0.321287,0.006883,0.314403,0.328170
base,cross,AS_final,0.267279,0.006383,0.260895,0.273662
SA,mono,AS_orig,0.336426,0.005760,0.330666,0.342186
SA,mono,AS_final,0.368240,0.005638,0.362602,0.373877
SA,cross,AS_orig,0.335488,0.005418,0.330070,0.340907
SA,cross,AS_final,0.383282,0.004887,0.378396,0.388169
MAS,mono,AS_orig,0.334436,0.006923,0.327513,0.341359
MAS,mono,AS_final,0.348953,0.006720,0.342234,0.355673
MAS,cross,AS_orig,0.334491,0.006421,0.328070,0.340912
MAS,cross,AS_final,0.355471,0.005670,0.349801,0.361141
MAP,mono,AS_orig,0.339880,0.006279,0.333600,0.346159
MAP,mono,AS_final,0.350746,0.006174,0.344571,0.356920
MAP,cross,AS_orig,0.342506,0.006235,0.336271,0.348741
MAP,cross,AS_final,0.363341,0.005400,0.357941,0.368741
