Pipeline,Metric,Mean,CI,Lower,Upper
base,CRS,0.239450,0.002317,0.237133,0.241767
base,OCRS,0.236421,0.002465,0.233956,0.238886
base,PCRS,0.239042,0.003285,0.235757,0.242327
base,ACRS,0.269670,0.004565,0.265105,0.274235
base,LCRS,0.212667,0.006127,0.206539,0.218794
SA,CRS,0.245504,0.002347,0.243157,0.247852
SA,OCRS,0.243725,0.002924,0.240800,0.246649
SA,PCRS,0.247364,0.003329,0.244035,0.250693
SA,ACRS,0.266555,0.004742,0.261813,0.271297
SA,LCRS,0.224373,0.004554,0.219819,0.228927
MAS,CRS,0.248163,0.002349,0.245815,0.250512
MAS,OCRS,0.247792,0.002699,0.245092,0.250491
MAS,PCRS,0.245565,0.003257,0.242308,0.248822
MAS,ACRS,0.260544,0.005076,0.255468,0.265620
MAS,LCRS,0.238753,0.004531,0.234222,0.243284
MAP,CRS,0.250454,0.002197,0.248257,0.252651
MAP,OCRS,0.250291,0.002766,0.247524,0.253057
MAP,PCRS,0.246446,0.003255,0.243190,0.249701
MAP,ACRS,0.265263,0.004614,0.260649,0.269878
MAP,LCRS,0.239816,0.004427,0.235390,0.244243
