Pipeline,Scenario,Metric,Mean,CI,Lower,Upper,N
base,mono,Visual_Quality,60.422230,1.070084,59.352146,61.492315,139
base,mono,Temporal_Consistency,52.829137,1.875753,50.953383,54.704890,139
base,cross,Visual_Quality,61.048462,1.216801,59.831660,62.265263,104
base,cross,Temporal_Consistency,52.805481,2.044200,50.761281,54.849680,104
SA,mono,Visual_Quality,61.769209,0.838840,60.930369,62.608049,139
SA,mono,Temporal_Consistency,57.204245,1.419151,55.785093,58.623396,139
SA,cross,Visual_Quality,62.295000,0.881878,61.413122,63.176878,104
SA,cross,Temporal_Consistency,57.689904,1.770945,55.918959,59.460848,104
MAS,mono,Visual_Quality,61.075396,0.880165,60.195231,61.955561,139
MAS,mono,Temporal_Consistency,58.858129,1.398759,57.459370,60.256889,139
MAS,cross,Visual_Quality,61.342212,0.923322,60.418890,62.265533,104
MAS,cross,Temporal_Consistency,58.746827,1.533059,57.213768,60.279885,104
MAP,mono,Visual_Quality,61.131295,0.767771,60.363524,61.899066,139
MAP,mono,Temporal_Consistency,58.341799,1.346795,56.995003,59.688594,139
MAP,cross,Visual_Quality,61.697885,0.846092,60.851792,62.543977,104
MAP,cross,Temporal_Consistency,57.960577,1.707098,56.253479,59.667675,104
