Pipeline,Metric,Mean,CI,Lower,Upper
base,VLM_CRS,2.609053,0.147306,2.461748,2.756359
base,VLM_OCRS,2.497942,0.205296,2.292647,2.703238
base,VLM_PCRS,2.078189,0.189025,1.889164,2.267214
base,VLM_ACRS,3.000000,0.222160,2.777840,3.222160
base,VLM_LCRS,2.860082,0.241410,2.618673,3.101492
SA,VLM_CRS,3.417695,0.129676,3.288019,3.547372
SA,VLM_OCRS,3.193416,0.194936,2.998480,3.388352
SA,VLM_PCRS,3.045267,0.208129,2.837138,3.253397
SA,VLM_ACRS,3.514403,0.206569,3.307834,3.720973
SA,VLM_LCRS,3.917695,0.197365,3.720330,4.115061
MAS,VLM_CRS,3.475309,0.136885,3.338424,3.612194
MAS,VLM_OCRS,3.222222,0.203237,3.018986,3.425459
MAS,VLM_PCRS,2.983539,0.207722,2.775817,3.191261
MAS,VLM_ACRS,3.296296,0.216240,3.080056,3.512536
MAS,VLM_LCRS,4.399177,0.162516,4.236661,4.561693
MAP,VLM_CRS,3.605967,0.126059,3.479908,3.732026
MAP,VLM_OCRS,3.399177,0.194999,3.204178,3.594175
MAP,VLM_PCRS,3.119342,0.204457,2.914885,3.323798
MAP,VLM_ACRS,3.477366,0.208149,3.269218,3.685515
MAP,VLM_LCRS,4.427984,0.159485,4.268498,4.587469
